order_id,line_no,product_id,quantity,unit_price,discount_rate
O000001,1,P0011,1,24000,0.05
O000002,1,P0007,2,29000,0
O000002,2,P0012,2,39000,0
O000002,3,P0013,2,28000,0
O000002,4,P0025,1,15000,0.1
O000003,1,P0007,3,29000,0
O000004,1,P0010,3,48000,0.1
O000004,2,P0011,3,24000,0
O000004,3,P0011,3,24000,0.05
O000004,4,P0016,2,42000,0
O000005,1,P0018,3,59000,0
O000006,1,P0009,3,27000,0
O000006,2,P0009,2,27000,0
O000006,3,P0007,3,29000,0
O000007,1,P0016,3,42000,0.05
O000007,2,P0003,2,89000,1.2
O000008,1,P0006,1,38000,0.05
O000009,1,P0016,1,42000,0.05
O000009,2,P0007,1,29000,0.05
O000010,1,P0006,1,38000,0
O000010,2,P0006,3,38000,0.15
O000010,3,P0007,2,29000,0
O000010,4,P0016,2,42000,0
O000011,1,P0013,2,28000,0
O000011,2,P0018,1,59000,0.1
O000011,3,P0018,3,59000,0.1
O000011,4,P0007,2,29000,0.1
O000012,1,P0005,3,45000,0
O000013,1,P0019,1,79000,0.05
O000013,2,P0011,1,24000,0
O000013,3,P0010,1,48000,0
O000013,4,P0008,2,32000,0
O000014,1,P0021,3,49000,1.2
O000015,1,P0017,3,25000,0
O000015,2,P0009,1,27000,0.1
O000016,1,P0015,2,22000,0
O000016,2,P0017,3,25000,0
O000016,3,P0001,1,69000,0.05
O000016,4,P0017,3,25000,0
O000017,1,P0005,3,45000,0.05
O000017,2,P0022,3,18000,0
O000017,3,P0002,3,54000,0
O000017,4,P0002,3,54000,0
O000018,1,P0022,3,18000,0.05
O000019,1,P0023,1,21000,0
O000019,2,P0013,2,28000,0
O000019,3,P0013,3,28000,0.1
O000020,1,P0023,3,21000,0
O000020,2,P0006,2,38000,0
O000020,3,P0003,3,89000,0.15
O000021,1,P0010,2,48000,0
O000022,1,P0018,3,59000,1.2
O000022,2,P0001,3,69000,0
O000022,3,P0020,3,99000,0
O000023,1,P0021,3,49000,0.1
O000023,2,P0015,1,22000,0
O000023,3,P0014,1,16000,0
O000023,4,P0010,3,48000,0.1
O000024,1,P0024,3,36000,0
O000024,2,P0024,1,36000,0
O000025,1,P0008,1,32000,0
O000026,1,P0024,1,36000,0.05
O000026,2,P0003,3,89000,0
O000026,3,P0001,1,69000,0
O000026,4,P0011,3,24000,0.05
O000027,1,P0025,2,15000,0
O000027,2,P0008,3,32000,0
O000028,1,P0017,3,25000,0
O000029,1,P0024,3,36000,0.15
O000029,2,P0024,3,36000,0.1
O000029,3,P0015,3,22000,0.05
O000029,4,P0019,2,79000,0
O000030,1,P0023,3,21000,0.05
O000030,2,P0010,1,48000,0.1
O000030,3,P0004,1,329000,0.05
O000030,4,P0012,2,39000,0.05
O000031,1,P0017,2,25000,0
O000031,2,P0004,2,329000,0
O000031,3,P0005,1,45000,0
O000032,1,P0022,3,18000,0.15
O000032,2,P0002,3,54000,0.15
O000032,3,P0009,1,27000,0.1
O000032,4,P0007,2,29000,0
O000033,1,P0003,2,89000,0
O000033,2,P0023,1,21000,0.05
O000033,3,P0014,2,16000,0.05
O000033,4,P0021,3,49000,0
O000034,1,P0003,1,89000,0.05
O000034,2,P0013,3,28000,0
O000035,1,P0003,1,89000,0.05
O000035,2,P0004,3,329000,0.05
O000035,3,P0015,3,22000,0
O000036,1,P0003,1,89000,0
