product_id,product_name,category,total_quantity,total_amount,gross_profit
P0004,27인치 모니터,DIGITAL,59,18456900.0,4698100.0
P0019,웹캠,DIGITAL,90,6857200.0,2456200.0
P0003,USB-C 허브,DIGITAL,71,6029750.0,2919950.0
P0020,블루투스 스피커,DIGITAL,57,5390550.0,2192850.0
P0001,무선 키보드,DIGITAL,80,5261250.0,1693250.0
P0002,버티컬 마우스,DIGITAL,93,4792500.0,2225700.0
P0018,보조배터리,DIGITAL,79,4466300.0,1409000.0
P0010,공기청정기 필터,LIVING,96,4449600.0,1915200.0
P0021,LED 스탠드,OFFICE,84,4013100.0,1493100.0
P0024,멀티비타민,HEALTH,98,3349800.0,1046800.0
P0005,노트북 스탠드,OFFICE,76,3280500.0,856100.0
P0008,스테인리스 텀블러,LIVING,94,2878400.0,857400.0
P0012,견과 선물세트,FOOD,76,2802150.0,1031350.0
P0006,메모리폼 방석,OFFICE,75,2764500.0,1219500.0
P0016,요가 매트,SPORTS,65,2595600.0,1126600.0
P0013,프로틴 바 12입,FOOD,92,2479400.0,1090200.0
P0007,데스크 매트,OFFICE,83,2308400.0,673300.0
P0009,휴대용 선풍기,LIVING,88,2276100.0,841700.0
P0023,핸드워시 세트,LIVING,99,1990800.0,1030500.0
P0015,러닝 벨트,SPORTS,92,1950300.0,800300.0
P0011,드립백 커피 20입,FOOD,82,1909200.0,876000.0
P0017,폼롤러,SPORTS,78,1900000.0,839200.0
P0022,수납 트레이,OFFICE,89,1533600.0,616900.0
P0014,저당 그래놀라,FOOD,78,1191200.0,575000.0
P0025,마사지볼,SPORTS,82,1177500.0,587100.0
